Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.13     13.73     0.02                             float const dlib::matrix_multiply_helper<dlib::matrix<float, 2l, 2l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, 2l, 2l>::eval<dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::matrix<float, 2l, 2l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> >(dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> const&, dlib::matrix<float, 2l, 2l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> const&, long, long)
  0.13     13.75     0.02                             float const dlib::matrix_multiply_helper<dlib::matrix_op<dlib::op_trans<dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >, dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, 2l, 2l>::eval<dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::matrix_op<dlib::op_trans<dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > > >(dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> const&, dlib::matrix_op<dlib::op_trans<dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > > const&, long, long)
  0.13     13.77     0.02                             dlib::simd4f::simd4f()
  0.13     13.79     0.02                             dlib::array2d<dlib::matrix<float, 18l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::memory_manager_stateless_kernel_1<char> >::clear()
  0.13     13.81     0.02                             dlib::operator&(dlib::simd4i const&, dlib::simd4i const&)
  0.13     13.83     0.02                             dlib::operator*(dlib::simd8i const&, dlib::simd8i const&)
  0.13     13.85     0.02                             dlib::operator|(dlib::simd4i const&, dlib::simd4i const&)
  0.13     13.87     0.02                             nlohmann::json_abi_v3_11_3::detail::serializer<nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void> >::dump_escaped(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bool)
  0.13     13.89     0.02                             dlib::matrix_exp<dlib::matrix_add_exp<dlib::matrix_multiply_exp<dlib::matrix<double, 2l, 2l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::matrix<double, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> >, dlib::matrix<double, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >::nc() const
  0.13     13.91     0.02                             dlib::array2d<float, dlib::memory_manager_stateless_kernel_1<char> >::width_step() const
